v4_0,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,registration-or-occurrence,RegistrationOrOccurrence
363,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,all-ages,All ages,registrations,Registrations
5,2026,2026,E12000007,London,week-6,Week 6,male,Male,40-44,40-44,registrations,Registrations
6,2026,2026,E12000009,South West,week-6,Week 6,male,Male,40-44,40-44,registrations,Registrations
9,2026,2026,E12000006,East of England,week-6,Week 6,all,All,45-49,45-49,registrations,Registrations
9,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,45-49,45-49,registrations,Registrations
857,2026,2026,E12000002,North West,week-6,Week 6,male,Male,all-ages,All ages,registrations,Registrations
219,2026,2026,E92000001,England,week-6,Week 6,all,All,50-54,50-54,registrations,Registrations
5,2026,2026,E12000002,North West,week-6,Week 6,all,All,0-1,0-1,registrations,Registrations
2,2026,2026,E12000009,South West,week-6,Week 6,all,All,0-1,0-1,registrations,Registrations
1,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,0-1,0-1,registrations,Registrations
0,2026,2026,E12000009,South West,week-6,Week 6,female,Female,1-4,1-4,registrations,Registrations
0,2026,2026,E12000001,North East,week-6,Week 6,male,Male,1-4,1-4,registrations,Registrations
0,2026,2026,E12000007,London,week-6,Week 6,male,Male,1-4,1-4,registrations,Registrations
13,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,50-54,50-54,registrations,Registrations
28,2026,2026,E12000002,North West,week-6,Week 6,female,Female,55-59,55-59,registrations,Registrations
7,2026,2026,E12000001,North East,week-6,Week 6,male,Male,55-59,55-59,registrations,Registrations
